Organisme,Polluant,moyenne,maximum,ecart_type,nb_mesures,taux_depassement_pct,score_sante
AIR BREIZH,NO2,23.914772727272727,64.6,14.212321594984171,264,16.28787878787879,D (Médiocre)
AIR BREIZH,PM10,22.319166666666668,94.4,16.049576935381882,240,11.666666666666666,C (Modéré)
AIR BREIZH,PM2.5,20.282916666666665,91.8,15.677377560985104,240,56.25,E (Critique)
AIR PAYS DE LA LOIRE,NO2,17.469886363636363,92.1,13.134460894348301,528,6.8181818181818175,C (Modéré)
AIR PAYS DE LA LOIRE,PM10,24.181944444444444,96.9,13.497018590323307,432,6.018518518518518,C (Modéré)
AIR PAYS DE LA LOIRE,PM2.5,20.23088235294118,90.0,10.679971712497036,408,63.48039215686274,E (Critique)
AIRPARIF,NO2,27.821599045346062,103.7,17.660589982759998,838,22.916666666666664,D (Médiocre)
AIRPARIF,PM10,24.062927756653995,168.5,23.02564645041552,526,13.446969696969695,C (Modéré)
AIRPARIF,PM2.5,19.945348837209302,94.3,19.58139820013971,430,36.342592592592595,E (Critique)
ATMO AUVERGNE-RHÔNE-ALPES,NO2,27.33683333333333,89.3,16.257148346676928,1200,17.78846153846154,D (Médiocre)
ATMO AUVERGNE-RHÔNE-ALPES,PM10,31.49175,130.8,16.493231313788744,1200,16.25,D (Médiocre)
ATMO AUVERGNE-RHÔNE-ALPES,PM2.5,26.336642156862744,98.7,14.353623958276016,816,77.08333333333334,E (Critique)
ATMO BOURGOGNE-FRANCHE-COMTE,NO2,19.046170212765958,61.5,11.011284007478595,470,5.416666666666667,C (Modéré)
ATMO BOURGOGNE-FRANCHE-COMTE,PM10,21.702513966480446,68.1,11.08811003455773,358,3.431372549019608,B (Bon)
ATMO BOURGOGNE-FRANCHE-COMTE,PM2.5,19.18638888888889,68.7,10.416194711685383,360,59.635416666666664,E (Critique)
ATMO GRAND EST,NO2,11.079166666666667,60.4,9.57884859825803,912,1.425438596491228,B (Bon)
ATMO GRAND EST,PM10,18.570182291666665,253.8,18.95059201307432,768,8.203125,C (Modéré)
ATMO GRAND EST,PM2.5,15.145309381237526,210.3,16.11291292579004,501,27.976190476190478,D (Médiocre)
ATMO GUYANE,NO2,0.6791666666666667,3.5,0.7210979611006719,48,0.0,A (Excellent)
ATMO GUYANE,PM10,11.0625,24.0,3.654025829397592,64,0.0,A (Excellent)
ATMO GUYANE,PM2.5,5.681538461538461,15.5,2.1168883641216993,65,1.3888888888888888,B (Bon)
ATMO HAUTS DE FRANCE,NO2,9.352380952380953,53.0,7.499020100712418,504,0.5434782608695652,B (Bon)
ATMO HAUTS DE FRANCE,PM10,10.33433908045977,50.4,6.13153768501024,696,0.1388888888888889,B (Bon)
ATMO HAUTS DE FRANCE,PM2.5,8.091485507246377,46.0,5.940804479349454,552,5.797101449275362,C (Modéré)
